,"Agriculture, Forestry & Fishing",Mining & Quarrying,Manufacturing,"Electricity, Gas, Steam & Air Conditioning Supply","Water Supply, Sewerage, Waste Management & Remediation Activities",Construction,"Wholesale & Retail Trade, Repair of Motor Vehicles & Motorcycles",Transportation & Storage,Accomodation & Food Service Activities,Information & Communication,Financial & Insurance / Takaful Activities,Real Estate Activities,"Professional, Scientific & Technical Activities",Administrative & Support Service Activities,Public Administration & Defence,Education,Human Health & Social Work Activities,"Arts, Entertainment & Recreational",Other Service Activities,Activities of Households as Employers,Activities of Extraterritorial Organisation & Bodies,Total
Johor,11831.0,2.0,110479.0,86.0,52.0,27799.0,785.0,942.0,2033.0,266.0,2745.0,12.0,249.0,1232.0,116.0,72.0,230.0,180.0,2733.0,24.0,43.0,161911.0
Kedah,1289.0,0.0,11274.0,14.0,83.0,956.0,872.0,53.0,1229.0,71.0,1543.0,2.0,37.0,146.0,51.0,294.0,3.0,4.0,524.0,200.0,5.0,18650.0
Kelantan,5333.0,1.0,2317.0,18.0,0.0,674.0,32.0,2.0,60.0,64.0,883.0,164.0,839.0,136.0,7.0,577.0,23.0,3.0,405.0,2.0,0.0,11540.0
Melaka,4377.0,1.0,17459.0,44.0,87.0,4680.0,119.0,19.0,1642.0,129.0,1062.0,1.0,111.0,407.0,20.0,69.0,0.0,2.0,1870.0,310.0,4.0,32413.0
Negeri Sembilan,3638.0,23.0,18829.0,11.0,147.0,4826.0,602.0,147.0,466.0,273.0,832.0,2.0,83.0,336.0,45.0,560.0,72.0,0.0,1280.0,1.0,0.0,32173.0
Pahang,11636.0,7.0,6791.0,0.0,7.0,2799.0,90.0,16.0,382.0,15.0,1097.0,2.0,11.0,598.0,2.0,63.0,0.0,0.0,460.0,0.0,0.0,23976.0
Perak,15343.0,91.0,29157.0,39.0,62.0,2377.0,224.0,2.0,726.0,8.0,756.0,1.0,66.0,78.0,232.0,18.0,31.0,5.0,1359.0,20.0,0.0,50595.0
Perlis,0.0,0.0,815.0,0.0,0.0,59.0,18.0,0.0,19.0,0.0,105.0,0.0,0.0,0.0,0.0,9.0,16.0,0.0,4.0,0.0,0.0,1045.0
Pulau Pinang,339.0,0.0,47765.0,61.0,183.0,3438.0,449.0,626.0,969.0,16.0,38.0,31.0,511.0,1569.0,19.0,77.0,4.0,11.0,1429.0,200.0,2.0,57737.0
Sabah,85163.0,1087.0,9455.0,297.0,33.0,11742.0,1869.0,188.0,2086.0,83.0,438.0,40.0,455.0,227.0,106.0,115.0,96.0,23.0,7170.0,3.0,0.0,120676.0
Sarawak,1894.0,237.0,2730.0,280.0,0.0,2566.0,255.0,189.0,514.0,4.0,713.0,3.0,1022.0,185.0,20.0,90.0,51.0,11.0,1706.0,11.0,0.0,12481.0
Selangor,7564.0,87.0,109665.0,1207.0,44.0,37314.0,2121.0,2375.0,6316.0,2360.0,4804.0,216.0,888.0,9852.0,1751.0,568.0,286.0,136.0,13657.0,644.0,6.0,201861.0
Terengganu,3324.0,8.0,893.0,17.0,2.0,590.0,252.0,6.0,179.0,221.0,292.0,2.0,23.0,19.0,70.0,52.0,1261.0,6.0,195.0,9.0,0.0,7421.0
W.P. Kuala Lumpur,12268.0,178.0,6873.0,67.0,103.0,21983.0,1456.0,1029.0,3650.0,1253.0,30844.0,206.0,556.0,3308.0,1242.0,897.0,1201.0,141.0,10186.0,4.0,7.0,97452.0
